businessID,neighborhoodName,businessID,address,businessName,photoURL,city,state,url,reviewCount,stars,longitude,latitude
11HXgzo47w5e5pziFXpTNg,University City,11HXgzo47w5e5pziFXpTNg,"34th & MarketPowelton VillagePhiladelphia, PA 19104",Market 16 Noodle Bar,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/market-16-noodle-bar-philadelphia,4,2,-75.1914738,39.9558499
17_9hWLpnRyRaJc2umpS2A,University City,17_9hWLpnRyRaJc2umpS2A,"University of Pennsylvania3805 Locust WalkUniversity CityPhiladelphia, PA 19104",Kelly Writers House,http://s3-media1.ak.yelpcdn.com/bphoto/XTrMh0XIlB1ViBi-dgnVbQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/kelly-writers-house-philadelphia,4,4.5,-75.199356,39.952583
18xZwAzzShCRW_d8ZPpV5w,University City,18xZwAzzShCRW_d8ZPpV5w,"38th & Walnut StUniversity CityPhiladelphia, PA 19104",House of Pita Hanan,http://s3-media2.ak.yelpcdn.com/bphoto/3PzpKa3HwsyyRlQ95wTamw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/house-of-pita-hanan-philadelphia,14,3.5,-75.1987871,39.9536482
1k-jn75foQrO-YLy6gWXLw,University City,1k-jn75foQrO-YLy6gWXLw,"3400 Spruce StUniversity CityPhiladelphia, PA 19104","Michael Cirigliano, MD",http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/michael-cirigliano-md-philadelphia,3,5,-75.1931012,39.9500166
1xb4MBAUGQRU7n5C-WqCtw,University City,1xb4MBAUGQRU7n5C-WqCtw,"3535 Market StPowelton VillagePhiladelphia, PA 19104",FedEx Office Print & Ship Center,http://s3-media1.ak.yelpcdn.com/bphoto/gPef7kEuP5LsuL2BjbyYvQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/fedex-office-print-and-ship-center-philadelphia,4,4.5,-75.193911,39.956423
2ak2wvRk3YMfVK1QG63eyA,University City,2ak2wvRk3YMfVK1QG63eyA,"3920 Spruce StUniversity CityPhiladelphia, PA 19104",House of Our Own,http://s3-media4.ak.yelpcdn.com/bphoto/J17WTliRVMnb75gCW4WZAA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/house-of-our-own-philadelphia,18,4.5,-75.2018583,39.9514381
2b6BvccVTtPwElQreRtFYw,University City,2b6BvccVTtPwElQreRtFYw,"3900 Chestnut StUniversity CityPhiladelphia, PA 19104",Drinker's West,http://s3-media2.ak.yelpcdn.com/bphoto/QYPxp6makPzLLoJg7OT6Kw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/drinkers-west-philadelphia,61,3.5,-75.2001318,39.9549304
2G3SDiRXguvrVXp2J-Qy0w,University City,2G3SDiRXguvrVXp2J-Qy0w,"3845 Nobel DrUniversity CitySan Diego, CA 92122",La Scala Luxury Villas,http://s3-media1.ak.yelpcdn.com/bphoto/pWdR6Ma5lEYExXUcrJsxUw/ms.jpg,San Diego,CA,http://www.yelp.com/biz/la-scala-luxury-villas-san-diego,9,3,-117.2236665,32.8682733
2GLQjV1-_KbWDVqa3sVCjA,University City,2GLQjV1-_KbWDVqa3sVCjA,"4060 Chestnut StUniversity CityPhiladelphia, PA 19104",New Style Pizza,http://s3-media1.ak.yelpcdn.com/bphoto/LzJBDdamOdlyPYONCeIkEQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/new-style-pizza-philadelphia,13,3.5,-75.204672,39.955682
2LrIkZB7mOwu8-9OVhjWfQ,University City,2LrIkZB7mOwu8-9OVhjWfQ,"8970 University Center LnUniversity CityLa Jolla, CA 92122",Fleming's Prime Steakhouse & Wine Bar,http://s3-media1.ak.yelpcdn.com/bphoto/yvJgwalK8sgArayp5hykzg/ms.jpg,La Jolla,CA,http://www.yelp.com/biz/flemings-prime-steakhouse-and-wine-bar-la-jolla-2,343,4,-117.2251655,32.8700966
